Year,Gini index,Life expectancy
1984,33.5,76.4
1985,33.2,76.3
1986,31.7,76.5
1987,31.7,76.8
1988,31.2,76.9
1989,31,77.1
1990,31.4,77.4
1991,32,77.6
1992,31.6,77.9
1993,31.7,77.7
1994,31.3,77.9
1995,31.5,78
1996,32.8,78.3
1997,33.1,78.5
1998,33.2,78.7
1999,33.1,78.9
2000,33.4,79.2
2001,33.6,79.5
2002,33.6,79.6
2003,33.8,79.7
2004,33.8,80
2005,33.6,80.1
2006,34.1,80.5
2007,33.8,80.5
2008,33.9,80.7
2009,34,81.1
2010,33.6,81.3
2011,32.7,81.5
2012,33.5,81.7
2013,33.8,81.8
2014,33.2,81.9
2015,33.7,81.9
2016,32.7,82
2017,33.3,82
2018,32.5,82.1
2019,31.7,82.4
